name,email,department,designation,sent_date
Alice Johnson,22dp1000105@ds.study.iitm.ac.in,IT,Analyst,2024-11-19 08:51:45
Anurag Kumar,akanuragkumar75@gmail.com,Developer,Developer,2024-11-19 08:51:47
Sethi,tech@kvqaindia.com,Developer,Frontend Developer,2024-11-19 08:51:49
Ritika,akanuragkumar4@gmail.com,Leadership,CTO,2024-11-19 08:51:51
Lav Kaushik,somag89556@cpaurl.com,Leadership,CEO,2024-11-19 08:51:53
Varun,kafay34325@cpaurl.com,Leadership,CEO,2024-11-19 08:52:10
TRG,hafebom642@exoular.com,Training,Training Coordinator,2024-11-19 08:52:12
sales,hasej86977@gitated.com,Sales,Sales Head,2024-11-19 08:52:14
NoidaISO,pecepi9521@cashbn.com,Noida,Noida,2024-11-19 08:52:16
Ruby,namax29728@gitated.com,IT,IT Operations,2024-11-19 08:52:18
Babli,tixiy15582@cashbn.com,Sales,Sales,2024-11-19 08:52:35
Shikha,yolenif475@gitated.com,Operations,Opeartion Head,2024-11-19 08:52:37
Kanchan,jowis58296@cpaurl.com,Sales,Sales,2024-11-19 08:52:39
Info,kehot22123@cpaurl.com,Operations,Information Sharing,2024-11-19 08:52:41
Vaishali,tomacob234@cpaurl.com,Certificate,Certificate Head,2024-11-19 08:52:43
Neha,dogif17943@cpaurl.com,Sales,Sales,2024-11-19 08:53:00
DHR,yinonoj630@kazvi.com,DHR,DHR,2024-11-19 08:53:02
Delhi,selofo8026@merotx.com,Delhi,Delhi,2024-11-19 08:53:04
Arun,xison17512@kazvi.com,Leadership,CFO,2024-11-19 08:53:06
OPS,citeji5554@kimasoft.com,OPS,OPS,2024-11-19 08:53:09
